Date/Time           | Source IP        | Protocol  | Attack Type | Packet Count | Mitigation Status
-------------------------------------------------------------------------------------------------------
2025-01-04 14:15:05 | 27.45.93.192 | TCP | SYN Flood | 15682 | Mitigated
2025-01-04 14:15:05 | 240.11.228.125 | TCP | SYN Flood | 43416 | Mitigated
2025-01-04 14:15:05 | 60.22.120.145 | TCP | SYN Flood | 49906 | Blocked
2025-01-04 14:15:05 | 48.162.69.116 | TCP | SYN Flood | 39314 | Blocked
2025-01-04 14:15:05 | 223.169.148.123 | TCP | SYN Flood | 48151 | Mitigated
2025-01-04 14:15:05 | 87.155.195.118 | TCP | SYN Flood | 2587 | Mitigated
2025-01-04 14:15:05 | 84.154.53.178 | TCP | SYN Flood | 40011 | Mitigated
2025-01-04 14:15:05 | 219.158.1.233 | TCP | SYN Flood | 10614 | Mitigated
2025-01-04 14:15:05 | 35.41.160.4 | TCP | SYN Flood | 13745 | Mitigated
2025-01-04 14:15:05 | 141.185.39.41 | TCP | SYN Flood | 15017 | Mitigated
2025-01-04 14:15:05 | 116.7.235.39 | TCP | SYN Flood | 11112 | Blocked
2025-01-04 14:15:05 | 152.47.123.124 | TCP | SYN Flood | 17547 | Mitigated
2025-01-04 14:15:05 | 49.70.124.212 | TCP | SYN Flood | 35162 | Blocked
2025-01-04 14:15:05 | 249.248.71.226 | TCP | SYN Flood | 39878 | Mitigated
2025-01-04 14:15:05 | 17.73.103.192 | TCP | SYN Flood | 38877 | Blocked
2025-01-04 14:15:05 | 134.107.146.159 | TCP | SYN Flood | 2719 | Mitigated
2025-01-04 14:15:05 | 133.45.134.210 | TCP | SYN Flood | 45731 | Blocked
2025-01-04 14:15:05 | 165.99.193.46 | TCP | SYN Flood | 35989 | Blocked
2025-01-04 14:15:05 | 95.133.72.106 | TCP | SYN Flood | 1522 | Blocked
2025-01-04 14:15:05 | 207.211.123.130 | TCP | SYN Flood | 35662 | Mitigated
2025-01-04 14:15:05 | 168.248.52.254 | TCP | SYN Flood | 17735 | Mitigated
2025-01-04 14:15:05 | 83.66.99.26 | TCP | SYN Flood | 2341 | Blocked
2025-01-04 14:15:05 | 65.185.85.189 | TCP | SYN Flood | 45687 | Blocked
2025-01-04 14:15:05 | 2.140.95.104 | TCP | SYN Flood | 2346 | Mitigated
2025-01-04 14:15:05 | 47.78.23.164 | TCP | SYN Flood | 11436 | Mitigated
2025-01-04 14:15:05 | 91.150.96.252 | TCP | SYN Flood | 24029 | Blocked
2025-01-04 14:15:05 | 39.192.105.207 | TCP | SYN Flood | 23227 | Blocked
2025-01-04 14:15:05 | 153.132.235.90 | TCP | SYN Flood | 20329 | Blocked
2025-01-04 14:15:05 | 174.226.231.22 | TCP | SYN Flood | 45693 | Blocked
2025-01-04 14:15:05 | 104.254.16.56 | TCP | SYN Flood | 45291 | Blocked
2025-01-04 14:15:05 | 205.174.98.158 | TCP | SYN Flood | 44610 | Blocked
2025-01-04 14:15:05 | 230.230.92.130 | TCP | SYN Flood | 1478 | Blocked
2025-01-04 14:15:05 | 182.11.217.245 | TCP | SYN Flood | 44799 | Blocked
2025-01-04 14:15:05 | 194.78.45.104 | TCP | SYN Flood | 48810 | Blocked
2025-01-04 14:15:05 | 228.86.114.254 | TCP | SYN Flood | 31186 | Mitigated
2025-01-04 14:15:05 | 226.56.107.69 | TCP | SYN Flood | 14075 | Blocked
2025-01-04 14:15:05 | 168.253.198.105 | TCP | SYN Flood | 38579 | Blocked
2025-01-04 14:15:05 | 73.88.15.158 | TCP | SYN Flood | 6120 | Mitigated
2025-01-04 14:15:05 | 159.108.132.189 | TCP | SYN Flood | 43705 | Blocked
2025-01-04 14:15:05 | 145.216.252.166 | TCP | SYN Flood | 11313 | Mitigated
2025-01-04 14:15:05 | 62.199.83.23 | TCP | SYN Flood | 14100 | Mitigated
2025-01-04 14:15:05 | 16.154.139.234 | TCP | SYN Flood | 14238 | Mitigated
2025-01-04 14:15:05 | 174.227.177.82 | TCP | SYN Flood | 41240 | Mitigated
2025-01-04 14:15:05 | 42.93.215.198 | TCP | SYN Flood | 1285 | Blocked
2025-01-04 14:15:05 | 71.156.127.155 | TCP | SYN Flood | 43419 | Blocked
2025-01-04 14:15:05 | 8.56.169.61 | TCP | SYN Flood | 44951 | Blocked
2025-01-04 14:15:05 | 251.243.6.153 | TCP | SYN Flood | 42242 | Mitigated
2025-01-04 14:15:05 | 125.191.161.235 | TCP | SYN Flood | 34261 | Mitigated
2025-01-04 14:15:05 | 76.60.176.63 | TCP | SYN Flood | 21023 | Blocked
2025-01-04 14:15:05 | 234.186.33.191 | TCP | SYN Flood | 2851 | Mitigated
